IdCN;NazwaCN;OpisCN;UwagaCN;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
0713 35 00;Fasolnik chiński (Vigna unguiculata), suszony, łuskany, nawet bez skórki lub dzielony;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0713 39 00;Fasola [Vigna i Phaseolus], suszona, łuskana, nawet bez skórki lub dzielona (z wył. fasoli z gatunku "Vigna mungo (L.) Hepper lub Vigna radiata (L.) Wilczek", fasolki czerwonej, małej "Adzuki", fasoli "Phaseolus vulgaris", sorzycy ziemnej i fasolnika chińskiego);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0713 40 00;Soczewica, suszona, łuskana, nawet bez skórki lub dzielona;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0713 50 00;Bób [Vicia aba var. major] i bobik "Vicia faba var. equina, Vicia faba var. Minor", suszone, łuskane, nawet bez skórki lub dzielone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0713 60 00;Nikla indyjska (Cajanus cajan), suszony, łuskany, nawet bez skórki lub dzielony;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0713 90 00;Warzywa strączkowe, suszone, łuskane, nawet bez skórki lub dzielone (z wył. grochu, ciecierzycy (cieciorki), fasoli, soczewicy, bobu, bobiku i nikli indyjskiej);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0714 10 00;Korzenie i bulwy manioku "cassava", świeże, schłodzone, zamrożone lub suszone, nawet w plastrach, lub w postaci granulek;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0714 20 10;Ziemniaki słodkie, świeże, całe, do spożycia przez ludzi;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0714 20 90;Ziemniaki słodkie, świeże, schłodzone, zamrożone lub suszone, nawet w plastrach, lub w postaci granulek (z wył. ziemniaków słodkich, świeżych, całych, do spożycia przez ludzi);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0714 30 00;Pochrzyn (ignam) (Dioscorea spp.), świeży, schłodzony, zamrożony lub suszony, nawet w plastrach, lub w postaci granulek;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
