IdUprawa_RodzajUprawa;IdUprawa;IdRodzajUprawa;NazwaUprawa_RodzajUprawa;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.26.11.0_702;01.26.11.0;702;Oliwki stołowe pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.26.12.0_701;01.26.12.0;701;Oliwki do produkcji oliwy na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.26.20.0_703;01.26.20.0;703;ORZECHY KOKOSOWE bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.26.90.0_702;01.26.90.0;702;POZOSTAŁE OWOCE OLEISTE, GDZIE INDZIEJ NIESKLASYFIKOWANE pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.27.11.0_701;01.27.11.0;701;Kawa niepalona na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.27.12.0_703;01.27.12.0;703;Herbata bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.27.13.0_701;01.27.13.0;701;Maté (herbata paragwajska) na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.27.14.0_702;01.27.14.0;702;Ziarna kakao pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.11.0_701;01.28.11.0;701;Pieprz surowy z rodzaju Piper na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.12.0_702;01.28.12.0;702;Chili i słodka papryka (z rodzaju Capsicum), surowe, suszone pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
