IdProdukt;NazwaProdukt;OpisProdukt;UwagaProdukt;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.13.51;Ziemniaki;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.51.0;Ziemniaki;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.52;Ziemniaki słodkie;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.52.0;Ziemniaki słodkie (bataty, pataty);;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.53;Maniok (cassava);;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.53.0;Maniok (cassava);;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.54;Kolokazja jadalna (taro);;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.54.0;Kolokazja jadalna (taro);;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.59;Pozostałe jadalne korzenie i bulwy o dużej zawartości skrobi i inuliny;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.59.0;Pozostałe jadalne korzenie i bulwy o dużej zawartości skrobi i inuliny;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.6;Nasiona warzyw, z wyłączeniem nasion buraków cukrowych;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.60;Nasiona warzyw, z wyłączeniem nasion buraków cukrowych;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.60.0;Nasiona warzyw, z wyłączeniem nasion buraków cukrowych;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.7;BURAKI CUKROWE I NASIONA BURAKÓW CUKROWYCH;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.71;Buraki cukrowe;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.71.0;Buraki cukrowe;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.72;Nasiona buraków cukrowych;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.72.0;Nasiona buraków cukrowych;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.8;GRZYBY I TRUFLE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.80;GRZYBY I TRUFLE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.80.0;GRZYBY I TRUFLE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.9;WARZYWA ŚWIEŻE, GDZIE INDZIEJ NIESKLASYFIKOWANE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.90;WARZYWA ŚWIEŻE, GDZIE INDZIEJ NIESKLASYFIKOWANE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.90.0;WARZYWA ŚWIEŻE, GDZIE INDZIEJ NIESKLASYFIKOWANE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.14;TRZCINA CUKROWA;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.14.1;TRZCINA CUKROWA;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.14.10;TRZCINA CUKROWA;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.14.10.0;TRZCINA CUKROWA;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.15;TYTOŃ NIEPRZETWORZONY;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.15.1;TYTOŃ NIEPRZETWORZONY;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.15.10;TYTOŃ NIEPRZETWORZONY;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.15.10.0;TYTOŃ NIEPRZETWORZONY;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.16;ROŚLINY WŁÓKNISTE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.16.1;ROŚLINY WŁÓKNISTE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.16.11;Bawełna niezgrzeblona i nieczesana;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.16.11.0;Bawełna niezgrzeblona i nieczesana;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.16.12;Juta, kenaf i pozostałe włókna tekstylne łykowe, surowe lub roszone, z wyłączeniem lnu, konopi i ramii;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.16.12.0;Juta, kenaf i pozostałe włókna tekstylne łykowe, surowe lub roszone, z wyłączeniem lnu, konopi i ramii;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.16.19;Len, konopie oraz pozostałe surowe rośliny włókniste, gdzie indziej niesklasyfikowane;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.16.19.0;Len, konopie oraz pozostałe surowe rośliny włókniste, gdzie indziej niesklasyfikowane;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.19;POZOSTAŁE ROŚLINY INNE NIŻ WIELOLETNIE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.19.1;ROŚLINY PASTEWNE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.19.10;ROŚLINY PASTEWNE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.19.10.0;ROŚLINY PASTEWNE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.19.2;"KWIATY CIĘTE I PĄKI KWIATOWE; NASIONA KWIATÓW";;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.19.21;Kwiaty cięte i pąki kwiatowe;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.19.21.0;Kwiaty cięte i pąki kwiatowe;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.19.22;Nasiona kwiatów;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.19.22.0;Nasiona kwiatów;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.19.3;"NASIONA ROŚLIN PASTEWNYCH, WŁĄCZAJĄC NASIONA BURAKÓW PASTEWNYCH; POZOSTAŁE SUROWE PRODUKTY ROŚLINNE";;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.19.31;Nasiona roślin pastewnych, włączając nasiona buraków pastewnych;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.19.31.0;Nasiona roślin pastewnych, włączając nasiona buraków pastewnych;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.19.39;Pozostałe surowe produkty roślinne, gdzie indziej niesklasyfikowane;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.19.39.0;Pozostałe surowe produkty roślinne, gdzie indziej niesklasyfikowane;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.2;ROŚLINY WIELOLETNIE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.21;WINOGRONA;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.21.1;WINOGRONA;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.21.11;Winogrona stołowe;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.21.11.0;Winogrona stołowe;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.21.12;Pozostałe winogrona świeże;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.21.12.0;Pozostałe winogrona świeże;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.22;OWOCE TROPIKALNE I PODZWROTNIKOWE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.22.1;OWOCE TROPIKALNE I PODZWROTNIKOWE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.22.11;Awokado;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.22.11.0;Awokado;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.22.12;Banany, plantany itp.;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.22.12.0;Banany, plantany itp.;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.22.13;Daktyle;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.22.13.0;Daktyle;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.22.14;Figi;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.22.14.0;Figi;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.22.19;Pozostałe owoce tropikalne i podzwrotnikowe;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.22.19.0;Pozostałe świeże owoce tropikalne i podzwrotnikowe;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.23;OWOCE CYTRUSOWE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.23.1;OWOCE CYTRUSOWE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.23.11;Pomelo i grejpfruty;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.23.11.0;Pomelo i grejpfruty;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.23.12;Cytryny i limonki;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.23.12.0;Cytryny i limonki;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.23.13;Pomarańcze;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.23.13.0;Pomarańcze;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.23.14;Mandarynki, klementynki i tangeryny;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.23.14.0;Mandarynki, klementynki i tangeryny;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.23.19;Pozostałe owoce cytrusowe;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.23.19.0;Pozostałe świeże owoce cytrusowe;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24;OWOCE ZIARNKOWE I PESTKOWE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.1;JABŁKA;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.10;JABŁKA;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.10.0;JABŁKA;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.2;POZOSTAŁE OWOCE ZIARNKOWE I PESTKOWE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.21;Gruszki;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.21.0;Gruszki;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.22;Pigwy;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.22.0;Pigwy;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.23;Morele;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.23.0;Morele;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.24;Wiśnie i czereśnie;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.24.0;Wiśnie i czereśnie;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.25;Brzoskwinie;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.25.0;Brzoskwinie;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.26;Nektaryny;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.26.0;Nektaryny;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.27;Śliwki;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.27.0;Śliwki;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.28;Owoce tarniny;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.28.0;Owoce tarniny;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.29;Pozostałe owoce ziarnkowe i pestkowe, gdzie indziej niesklasyfikowane;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.24.29.0;Pozostałe świeże owoce ziarnkowe i pestkowe, gdzie indziej niesklasyfikowane;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.25;OWOCE ŚWIEŻE, Z POZOSTAŁYCH KRZEWÓW I DRZEW OWOCOWYCH ORAZ DRZEW ORZECHOWYCH;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.25.1;JAGODY I OWOCE Z RODZAJU VACCINIUM;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
